"chembl_id"," LogP"," SMR"," TPSA"," Molecular Weight"," Rotatable Bonds"," H-Bond Donors"," H-Bond Acceptors"," Aromatic Rings"
"CHEMBL428922",8.4405,148.2075,50.72,485.202464852,4,2,5,3
"CHEMBL233389",5.2399,107.3938,38.05,392.170019764,3,1,3,3
"CHEMBL233390",5.5524,109.9298,38.05,394.151512576,3,1,4,3
"CHEMBL393194",5.1623,105.3128,38.05,380.135862512,3,1,4,3
"CHEMBL411825",5.1623,105.3128,38.05,380.135862512,3,1,4,3
"CHEMBL233789",6.3155,122.8188,38.05,430.151512576,3,1,4,4
"CHEMBL233588",6.3155,122.8188,38.05,430.151512576,3,1,4,4
"CHEMBL439386",6.254,124.9418,38.05,424.19509164,3,1,3,4
"CHEMBL236201",6.254,124.9418,38.05,424.19509164,3,1,3,4
"CHEMBL236202",5.847,117.2078,51.19,414.174356196,3,1,4,4
"CHEMBL392376",5.847,117.2078,51.19,414.174356196,3,1,4,4
"CHEMBL235365",5.58292,132.2835,92.43,514.207942068,7,2,5,3
"CHEMBL235591",4.9792,110.5618,42.23,415.175913668,5,1,3,3
"CHEMBL393819",5.3693,115.1788,42.23,429.191563732,6,1,3,3
"CHEMBL235799",5.6881,104.3565,36.02,387.180999048,5,2,1,3
"CHEMBL235800",6.0782,108.9735,36.02,401.196649112,6,2,1,3
"CHEMBL236018",6.2583,118.4255,59.81,440.207548144,6,2,2,3
"CHEMBL391942",5.94988,113.6885,59.81,426.19189808,6,2,2,3
"CHEMBL391943",5.4732,106.7685,48.91,402.19189808,6,2,2,3
"CHEMBL398572",6.1451,112.4178,33.12,413.196649112,6,1,2,3
"CHEMBL236853",6.7985,117.4278,33.12,447.15767676,6,1,2,3
"CHEMBL236855",6.9253,124.0848,33.12,453.22794924,6,1,2,3
"CHEMBL237496",5.755,107.8008,33.12,399.180999048,5,1,2,3
"CHEMBL393920",6.0145,117.2035,45.15,428.207548144,7,2,3,3
"CHEMBL238147",6.32292,121.9405,45.15,442.223198208,7,2,3,3
"CHEMBL236229",6.0145,117.2035,45.15,428.207548144,7,2,3,3
"CHEMBL393349",5.6244,112.5865,45.15,414.19189808,6,2,3,3
"CHEMBL238360",5.93282,117.3235,45.15,428.207548144,6,2,3,3
"CHEMBL393551",5.6244,112.5865,45.15,414.19189808,6,2,3,3
"CHEMBL1473",4.43,120.8678,80.67,500.184429752,6,1,6,0
"CHEMBL258191",6.49442,104.2154,27.82,338.154976416,1,2,1,3
"CHEMBL1551",4.4779,108.6474,77.76,392.29265976,4,3,3,0
"CHEMBL510868",3.308,213.3033,186.68,799.478308912,22,7,10,1
"CHEMBL503957",3.9733,210.8728,166.89,797.462658848,19,5,10,1
"CHEMBL452456",0.7045,224.1726,255.71,869.458636088,24,8,11,1
"CHEMBL514185",4.9263,112.6849,92.47,400.14230712,4,2,4,3
"CHEMBL475159",4.769,100.0377,41.99,346.113984196,3,1,3,3
"CHEMBL474770",5.07742,104.7747,41.99,360.12963426,3,1,3,3
"CHEMBL516386",4.1574,105.9691,85.13,391.099062404,4,1,5,3
"CHEMBL514481",4.1574,105.9691,85.13,391.099062404,4,1,5,3
"CHEMBL472800",5.07742,104.7747,41.99,360.12963426,3,1,3,3
"CHEMBL514455",5.38584,109.5117,41.99,374.145284324,3,1,3,3
"CHEMBL472801",5.1591,104.6547,41.99,360.12963426,4,1,3,3
"CHEMBL474771",4.1315,106.0665,62.22,376.12454888,5,2,4,3
"CHEMBL474965",4.7933,104.818,33.2,360.12963426,3,0,3,3
"CHEMBL515127",4.44678,104.5877,65.78,371.109233164,3,1,4,3
"CHEMBL474966",4.44678,104.5877,65.78,371.109233164,3,1,4,3
"CHEMBL474188",5.2756,107.9017,41.99,424.024496264,3,1,3,3
"CHEMBL514636",5.1195,104.8277,41.99,380.075011844,3,1,3,3
"CHEMBL474189",4.9431,104.6487,41.99,360.12963426,3,1,3,3
"CHEMBL474381",4.0356,96.5114,57.78,329.152812228,3,2,2,3
"CHEMBL515738",4.164,97.8327,54.88,347.109233164,3,1,4,3
"CHEMBL514646",4.769,100.0377,41.99,346.113984196,3,1,3,3
"CHEMBL474576",4.769,100.0377,41.99,346.113984196,3,1,3,3
"CHEMBL514630",4.3381,102.4437,54.88,361.124883228,3,1,4,3
"CHEMBL473801",4.44678,104.5877,65.78,371.109233164,3,1,4,3
"CHEMBL473802",4.44678,104.5877,65.78,371.109233164,3,1,4,3
"CHEMBL517440",3.4325,124.3019,113.48,527.134730124,11,3,6,3
"CHEMBL462282",2.9182,119.2499,113.48,511.164280664,11,3,6,3
"CHEMBL512127",2.1826,132.4017,147.62,571.15125278,12,3,8,3
"CHEMBL461012",4.0859,129.3119,113.48,561.095757772,11,3,6,3
"CHEMBL467633",3.0573,119.2079,113.48,529.154858852,11,3,6,3
"CHEMBL516033",2.3217,132.3597,147.62,589.141830968,12,3,8,3
"CHEMBL519947",3.4325,124.3019,113.48,527.134730124,11,3,6,3
"CHEMBL520750",3.5716,124.2599,113.48,545.125308312,11,3,6,3
"CHEMBL480800",3.4325,124.3019,113.48,527.134730124,11,3,6,3
"CHEMBL479431",3.5716,124.2599,113.48,545.125308312,11,3,6,3
"CHEMBL518451",4.7393,134.3219,113.48,595.05678542,11,3,6,3
"CHEMBL481784",2.8275,122.0969,126.37,528.129979092,11,3,7,3
"CHEMBL520276",2.8275,122.0969,126.37,528.129979092,11,3,7,3
"CHEMBL465919",3.2604,131.1486,129.27,532.184601508,11,4,6,4
"CHEMBL465920",2.325,109.9636,122.27,501.123558724,10,4,6,3
"CHEMBL464907",2.6672,114.5909,113.48,515.139208788,10,3,6,3
"CHEMBL465927",3.4474,123.8249,113.48,543.170508916,12,3,6,3
"CHEMBL464245",3.0069,119.5089,113.48,547.14543704,12,3,6,3
"CHEMBL517933",2.0297,120.6197,133.71,545.149773472,12,4,7,3
"CHEMBL481185",2.7791,119.2919,113.48,493.173702476,11,3,6,3
"CHEMBL501713",3.9991,151.6162,158.43,578.34548318,12,4,8,0
"CHEMBL524715",5.8335,148.7426,117.97,544.340003876,11,2,6,0
"CHEMBL1676",4.9268,128.6083,93.81,538.163694308,6,1,7,1
"CHEMBL1094231",5.7553,101.4918,38.05,438.055831784,4,1,3,4
"CHEMBL1094208",6.2696,106.5438,38.05,454.026281244,4,1,3,4
"CHEMBL1094209",5.0112,99.3288,50.94,421.060502564,4,1,4,4
"CHEMBL1096467",4.97358,101.1968,61.84,429.090053104,4,1,4,4
"CHEMBL1094514",5.41032,101.2188,38.05,418.1104542,4,1,3,4
"CHEMBL1083487",6.6755,133.4968,55.2,525.113410728,6,0,4,5
"CHEMBL1086115",7.0656,138.1138,55.2,539.129060792,7,0,4,5
"CHEMBL1086116",7.4557,142.7308,55.2,553.144710856,8,0,4,5
"CHEMBL1086260",7.4541,142.7088,55.2,553.144710856,7,0,4,5
"CHEMBL1086261",7.8458,147.3478,55.2,567.16036092,9,0,4,5
"CHEMBL1086484",6.7923,134.1545,63.99,525.113410728,7,1,4,5
"CHEMBL1083709",6.0005,119.1445,63.99,477.113410728,6,1,4,4
"CHEMBL1085958",7.5498,135.3995,73.22,595.080059912,8,1,5,5
"CHEMBL1084013",6.6598,135.2685,73.22,541.108325348,7,1,5,5
"CHEMBL1084014",7.67,133.7185,63.99,579.085145292,7,1,4,5
"CHEMBL1082780",6.7127,126.5935,63.99,517.0541816,6,1,5,5
"CHEMBL1163598",5.46852,105.9866,72.24,378.137970688,7,1,4,3
"CHEMBL1253819",4.9144,101.3975,58.14,410.161740824,7,2,3,3
"CHEMBL1253898",4.6114,96.5103,69.14,396.14609076,6,3,3,3
"CHEMBL1253899",4.6114,96.5103,69.14,396.14609076,6,3,3,3
"CHEMBL1253986",4.7667,94.8875,48.91,362.160597952,6,2,2,3
"CHEMBL1253987",4.9058,94.8455,48.91,380.15117614,6,2,2,3
"CHEMBL1254080",6.4423,126.8755,58.14,468.202462764,8,2,3,4
"CHEMBL1254173",5.8373,124.6705,71.03,469.197711732,8,2,4,4
"CHEMBL1254264",5.2323,122.4655,83.92,470.1929607,8,2,5,4
"CHEMBL1254265",6.1393,121.9883,69.14,454.1868127,7,3,3,4
"CHEMBL1254419",4.7016,104.0865,58.14,404.171162636,6,2,3,3
"CHEMBL1254494",5.355,109.0965,58.14,438.132190284,6,2,3,3
"CHEMBL1254651",5.5194,103.6025,45.25,409.166491856,7,2,2,3
"CHEMBL1254990",4.0878,104.0304,77.76,378.277009696,3,3,3,0
