"molregno","nm","standard_type","standard_relation","confidence_score","chembl_id","smiles","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA9","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
737863,14506.39,"IC50","=",9,"CHEMBL1313979","O=C(Nc1ccc2c(c1)nc3CSCCn23)c4occc4",3.128400000000002,82.55620000000002,124.89170262300344,60.06,299.35499999999996,299.072847656,5,1,3,1,5,1,6,21,34,4,3,0,1,2,0,1,1,0,0,0.2,12.021090602016631,7.883585379012349,5.972345790226933,4.454090378413706,3.395841771950105,6.728884840633098,4.867174074704394,3.5205180230047466,2.5368698503179004,-2.21,12.524610126576412,4.9624516059256045,2.210945733658913,5.316788604006331,21.211111504836857,12.297610012659364,0.0,16.379189100946192,41.01214927500045,0.0,11.033401435232523,0.0,5.687386274683562,0.0,11.761884949391115,9.211688121125169,0.0,9.551078168738563,0.0,12.297610012659364,11.06964221075312,48.179650254821475,0.0,0.0,34.38985238865871,14.301039188851032,4.794537184071822,4.9839785209472085,11.761884949391115,0.0,0.0,30.33183534230805,17.984996287342927,23.04941803761837,5.824404497999927,5.760247418874442,0.0,5.907179729351506,0.0,15,0,0,0,0,1,0,1,2,1,1,0,3,1,0,13,7,0,3,7,5,1,1,0,0,1,1,1,0,12,6,0,0,0,2,2,0,0,0,0,4,2
950041,8475.25,"IC50","=",9,"CHEMBL1526157","COc1ccc(cc1)N2C(=Nc3sc4CN(C)CCc4c3C2=O)SCC(=O)Nc5nccs5",3.631000000000002,133.2747,201.79505698963612,89.35000000000001,499.64300000000026,499.08065253199993,8,1,7,1,10,1,11,33,54,5,4,0,1,3,0,1,1,0,0,0.2727272727272727,20.480362607450136,12.938112167853566,10.49948810118428,8.114017014717325,6.476907140382449,10.256364216017458,7.578801585760474,5.376240852172129,3.7780735470654463,-2.73,22.081555176970937,9.256708100110606,4.408116778987973,15.612918452858388,51.79722568650185,17.760115212910407,0.0,10.440598685398296,45.793348281817956,0.0,15.904006908768924,0.0,5.131558479839333,5.749511833283905,34.43545670526059,9.53140013787187,0.0,19.43496642053625,0.0,18.12201451065929,31.77186814062042,56.636777380447555,0.0,11.436898107967467,55.69081554853679,14.953561288656857,14.156174015934997,9.967957041894417,0.0,22.673571755869474,11.761884949391115,43.29741337114663,29.54356634760544,23.93626163717268,10.57990825290447,10.28799496166004,5.907179729351506,5.559266895052007,0.0,22,0,0,0,0,3,0,1,4,3,0,0,9,2,0,16,10,0,7,11,8,1,1,0,0,4,4,1,0,13,11,0,0,0,2,3,0,0,0,0,4,2
857039,50000.0,"IC50",">",9,"CHEMBL1433155","CCCc1cc2C(=O)C(=COc2cc1OC(=O)c3occc3)c4ccc5OCCOc5c4",4.995900000000004,116.5715,182.67390357290472,88.11000000000001,432.4280000000002,432.12090298,7,0,6,0,7,0,7,32,52,5,4,0,1,2,0,1,2,0,0,0.2,17.382317580699866,10.37915946956406,7.409850396007895,5.2532318192942755,3.716578303467373,10.37915946956406,7.409850396007895,5.2532318192942755,3.716578303467373,-3.9999999999999996,19.93359375,8.262562245359891,3.6199599019826243,19.63937925330069,19.183069216977685,6.4208216229260096,0.0,29.46279491725989,68.6197345286879,0.0,22.09614733950103,0.0,0.0,17.248535499851716,0.0,27.83942791957866,0.0,0.0,0.0,19.765380445542643,13.213763929025836,76.5379219570532,0.0,28.375438483245706,16.938549644058888,23.04489073550684,4.794537184071822,4.794537184071822,0.0,0.0,19.410925891078243,47.87955994862805,6.06636706846161,17.212838701800848,30.809458899591043,11.49902366656781,11.189037810774984,0.0,5.969305287951849,25,0,0,0,0,0,0,0,0,3,4,0,7,2,0,16,11,0,6,14,7,0,0,0,0,3,3,1,0,15,10,0,0,0,1,4,0,0,0,0,4,2
896291,48418.83,"IC50","=",9,"CHEMBL1472407","Cc1oc2c(cccc2n1)C(=O)NCc3ccccc3",3.0662200000000013,76.35820000000004,115.9903497291612,55.13,266.29999999999995,266.105527688,4,1,4,1,3,1,4,20,34,3,3,0,0,1,0,0,2,0,0,0.125,11.08961911113124,6.4213933507615515,4.554982716805017,3.0624363988883334,2.112520179774473,6.4213933507615515,4.554982716805017,3.0624363988883334,2.112520179774473,-2.619999999999999,12.415666018077433,5.168442401693346,2.4029720430094534,5.316788604006331,10.891158250298714,6.544756405912575,6.923737199690624,21.81216408949172,52.948087484746225,0.0,11.099720859258504,0.0,0.0,0.0,0.0,9.211688121125169,0.0,10.30076712495354,0.0,13.4684936056032,0.0,65.54856345311278,0.0,0.0,17.00690058861001,9.733939541059678,4.794537184071822,4.9839785209472085,0.0,0.0,36.39820241076966,17.696185628620217,13.4684936056032,5.563451491696996,5.516700717616262,11.47374406366815,0.0,5.907179729351506,0.0,16,0,0,0,0,0,0,1,1,1,1,0,5,1,0,8,8,0,4,6,4,1,1,0,0,2,2,1,0,10,5,0,0,0,1,2,0,0,0,0,2,1
817826,37218.71,"IC50","=",9,"CHEMBL1393942","CC(=N)C(=C(O)CSc1oc(COc2ccccc2Cl)nn1)C#N",3.7694500000000017,89.47450000000003,146.96765380321088,116.02000000000001,364.8140000000001,364.0396889560001,7,2,7,2,8,0,9,24,37,2,2,0,0,1,0,0,1,0,0,0.2,14.18760389247843,8.075276360660771,5.861768942256247,3.8858094272764605,2.471719144845369,6.711713327998055,4.527977693824293,2.743852503541838,1.6232211499994953,-2.4999999999999996,17.847654320987655,8.379602257457673,4.745866666666666,4.736862953800049,26.768429620960273,6.606881964512918,16.74039647332228,12.814461121716533,45.23764451847192,5.022633313741326,0.0,0.0,0.0,5.749511833283905,23.36282483962363,14.260541285694103,10.671175160530009,10.197363616602075,0.0,18.75337507005023,5.752853606746789,46.511094911339114,0.0,11.818733146076179,29.074509842394335,19.669824891485625,0.0,0.0,5.261891554738487,10.197363616602075,35.49555897654685,19.056471336613843,5.711685002770702,10.775486920488115,23.15100254780162,6.606881964512918,0.0,11.113479827872595,0.0,15,0,1,0,0,1,0,2,2,2,1,0,11,2,1,6,5,0,7,10,7,2,2,0,0,5,5,3,0,7,4,0,0,0,1,1,0,0,0,0,0,0
817860,48895.72,"IC50","=",9,"CHEMBL1393976","COC(=O)c1oc(CSc2nc(C)nc3sc(C)c(C)c23)cc1",4.288460000000004,91.23450000000003,141.63198039497306,65.22,348.4490000000001,348.06023437199997,5,0,5,0,7,0,7,23,39,3,3,0,0,3,0,0,0,0,0,0.3125,14.930469124740485,8.836551766379563,7.252833101961626,5.605503055153695,4.388417215140382,7.034456625798346,5.085589589710302,3.5066666012926726,2.2241535406498594,-1.8599999999999999,16.01390346535948,6.330183499556772,3.112998069049381,0.0,23.0470598711238,10.489716560546839,20.771211599071872,32.58003520521893,21.575845052645807,0.0,10.216620634085363,0.0,0.0,0.0,23.098670827325854,13.948551074925216,0.0,9.967957041894417,0.0,31.5500251844879,7.109797541277533,39.918232158070325,0.0,0.0,39.28459674936307,9.154013890853395,0.0,14.76249422596624,0.0,11.336785877934737,11.761884949391115,38.46739722769209,10.263371408166094,12.862651148024323,21.44100831516418,0.0,5.760247418874442,0.0,5.969305287951849,16,0,0,0,0,2,0,0,2,2,1,0,9,1,0,8,7,0,5,8,5,0,0,0,0,5,3,1,0,6,8,0,0,0,2,1,0,0,0,0,2,1
1013602,50000.0,"IC50",">",9,"CHEMBL1589718","COC(=O)OC1=C(Br)C(=O)Oc2ccccc12",2.7007000000000003,63.21700000000001,104.0654509687771,65.74000000000001,299.076,297.94768542400004,5,0,3,0,5,0,6,17,24,2,2,0,0,1,0,0,1,0,0,0.09090909090909091,10.314603541201752,5.396448082338975,3.877969837822053,2.7488290927692995,1.6990666649871584,4.603449812781624,3.0849715682647005,2.064969243548575,1.3236123462497327,-1.8199999999999994,11.659158294893206,4.584375555077455,2.163807320443978,10.362449272878036,13.265163170816292,4.736862953800049,0.0,0.0,37.949875910804025,0.0,10.969244356107037,0.0,4.794537184071822,5.749511833283905,15.929943897949348,18.685414028725265,0.0,0.0,0.0,0.0,7.109797541277533,39.158311292828664,0.0,5.749511833283905,33.05455388359515,13.890876844653445,0.0,9.589074368143644,0.0,0.0,12.13273413692322,28.06267803487257,0.0,12.49602175574233,10.055739657474657,5.749511833283905,0.0,0.0,11.780951948616746,11,0,0,1,0,0,0,0,0,4,1,0,5,2,0,6,5,0,3,10,5,0,0,0,0,4,2,1,0,5,5,0,0,0,0,2,0,0,0,0,2,1
955204,14298.54,"IC50","=",9,"CHEMBL1531320","Oc1ccc2C=C(C(=O)NCc3occc3)C(=O)Oc2c1",2.0216000000000003,74.02700000000002,118.16633231006688,92.67999999999999,285.255,285.06372245200004,6,2,4,2,5,1,6,21,32,3,3,0,0,2,0,0,1,0,0,0.06666666666666667,10.82876542286934,6.207762507655391,4.431702310125184,2.9674575425287175,1.9339860776859024,6.207762507655391,4.431702310125184,2.9674575425287175,1.9339860776859024,-3.02,12.985960915870827,5.162909038431587,2.6415047247782373,10.94237492308432,11.013707124192212,6.544756405912575,0.0,16.118236094643258,56.290204464587234,0.0,10.969244356107037,0.0,0.0,5.749511833283905,0.0,18.73536645301922,0.0,5.316788604006331,0.0,6.544756405912575,0.0,64.40518782012997,0.0,5.749511833283905,16.876424085458545,19.25761787295373,4.794537184071822,4.794537184071822,0.0,0.0,0.0,30.33183534230805,11.452591282926406,12.807919401551633,22.656230885497585,0.0,0.0,5.907179729351506,5.625586319077987,15,0,0,0,0,0,0,1,0,3,2,0,5,2,0,8,8,0,4,11,6,2,2,0,0,3,2,1,0,9,6,0,0,0,1,2,0,0,0,0,2,1
871195,24910.74,"IC50","=",9,"CHEMBL1447311","CN(C)S(=O)(=O)N(CC(=O)N(Cc1ccccc1)Cc2ccccc2)c3ccccc3",3.528400000000003,123.53280000000002,184.0724207317021,60.93000000000001,437.5650000000001,437.17731272400005,6,0,10,0,3,1,7,31,58,3,3,0,0,0,0,0,3,0,0,0.20833333333333334,18.572704910687087,11.382604324141354,9.420093551661392,6.668025951830346,4.216117675046222,9.985640914134464,7.35335685906551,4.848215148799259,3.1601646931254663,-3.1599999999999984,22.52353829898871,10.237270490514717,5.931439112318853,4.305215991296234,44.170202807094114,28.09337916629464,0.0,11.126902983393991,90.99550602692418,0.0,0.0,0.0,5.687386274683562,0.0,0.0,13.212334168400758,0.0,9.205125722146711,0.0,13.08951281182515,24.94531636256319,102.12240901031818,0.0,0.0,21.803895174432732,4.899909730850478,4.794537184071822,4.305215991296234,12.72301297562517,0.0,78.86277189000094,23.259637120317212,27.18485677717953,5.687386274683562,6.544756405912575,0.0,5.907179729351506,0.0,10.209329170397666,24,0,0,0,0,1,0,3,0,3,0,0,12,3,0,9,9,0,10,9,6,0,0,0,0,5,3,4,1,15,3,0,0,0,0,3,0,0,0,0,0,0
898946,180.0,"IC50","=",9,"CHEMBL1475062","O=C(CCCCCN1C(=S)Nc2ccccc2C1=O)N3CCC(CC3)Nc4ccccc4",4.722590000000004,131.52739999999997,192.8194817117218,70.13,450.6080000000003,450.2089472,6,2,9,2,5,1,7,32,62,4,3,1,1,1,1,1,2,0,0,0.4,19.073132365894423,11.836883395288506,8.795308744108569,6.476433256551419,4.610508542085473,11.428635104824643,8.408610413041583,6.1539846461443455,4.326353501677326,-2.9299999999999993,22.270601000559175,10.590898920580843,5.455903321671152,10.876055499058339,39.48952126991365,11.339293589984397,4.771065770590158,38.524929737556064,59.39184080022631,0.0,10.902924932081056,0.0,5.687386274683562,0.0,12.217873443046695,4.794537184071822,0.0,14.450987899589041,0.0,51.11152697261659,18.406301415831482,69.72217346586848,0.0,0.0,34.71536437916282,15.200676855804016,14.156174015934997,0.0,0.0,0.0,36.75265696523406,62.166628208597174,37.78431794449526,10.902924932081056,0.0,4.771065770590158,5.907179729351506,5.559266895052007,0.0,25,0,0,0,0,1,0,1,3,2,0,0,9,3,0,15,8,0,9,8,6,2,2,0,0,3,6,1,0,14,8,0,0,0,0,4,0,0,0,0,2,1
780837,80.0,"IC50","=",9,"CHEMBL1356953","CC(C)(C)OC(=O)[C@@H](CCC(=O)N1CCN(CC1)c2ccc(cc2)C#N)N3C(=S)Nc4ccccc4C3=O",3.9425700000000026,147.45869999999982,225.79192655252638,111.43,533.6540000000001,533.2096754720001,9,1,9,1,8,1,10,38,69,4,3,1,1,1,1,1,2,0,0,0.39285714285714285,22.585385525072798,12.973331394307355,10.652044828038667,6.751528541638865,4.880521548787775,12.565083103843492,10.265346496971679,6.4527701207664245,4.560413374377688,-3.9699999999999993,27.07519993824482,11.18982837108426,6.112753183289294,10.459176625902485,58.10754935152638,14.325937321943691,16.102178638120918,45.218147165768855,53.3254737317647,0.0,10.902924932081056,0.0,5.687386274683562,0.0,12.217873443046695,14.325937321943691,5.261891554738487,14.450987899589041,0.0,45.25574648505554,31.07893535450078,69.21925788910387,0.0,6.069221312792274,40.68466966711467,19.520660936448213,14.156174015934997,4.794537184071822,5.261891554738487,0.0,12.13273413692322,75.80810907581424,38.28723352125987,22.535597736570327,11.642891640131648,4.771065770590158,5.907179729351506,5.559266895052007,5.969305287951849,28,0,0,0,0,1,0,1,4,4,0,0,13,4,1,15,8,0,9,13,9,1,1,0,0,8,4,3,1,13,9,0,0,0,0,4,0,0,0,0,2,1
