molregno,EC50 [nm],SlogP,SMR,LabuteASA,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles
325089,36,6.7056,127.4358,190.3827777506,38.05,444.16716264,3,1,4,0,5,32,57,6,4,1,2,2,0,0,2,1,2
325224,1068,6.2058,114.9398,178.0043794457,38.05,428.112540224,3,1,4,0,6,29,51,5,3,1,2,2,0,0,1,1,2
325268,423.3333333333,6.7056,127.4358,190.3827777506,38.05,444.16716264,3,1,4,0,5,32,57,6,4,1,2,2,0,0,2,1,2
326828,140,5.3649,124.418,189.7316520999,75.63,435.240958536,8,2,4,1,5,32,65,4,2,1,2,0,0,1,2,1,1
326830,130,4.62132,134.4493,206.7495233803,112.66,490.190400184,8,3,6,1,8,36,63,4,4,0,0,1,0,0,3,0,0
326836,205,4.6372,123.372,187.6049247731,75.63,429.194008344,8,2,4,1,5,32,59,4,3,0,1,0,0,1,3,0,0
326838,610,5.2583,129.742,199.0874254199,67.79,463.21588666,9,2,5,0,6,34,64,4,3,0,1,0,0,1,3,0,0
326844,760,5.9347,142.072,213.0646932307,75.63,485.2566086,9,2,4,1,5,36,71,4,3,0,1,0,0,1,3,0,0
326916,420,4.4819,124.9948,196.5646939282,95.86,463.179501152,8,3,5,1,7,34,60,4,3,0,1,0,0,1,3,0,0
326929,97.5,3.8015,100.9038,174.0042059309,95.86,441.119935588,7,3,5,1,10,31,50,3,2,0,1,0,0,1,2,0,0
326935,150,3.9568,99.281,165.0444367758,75.63,407.13444278,7,2,4,1,8,29,49,3,2,0,1,0,0,1,2,0,0
326943,2370,3.4144,98.9,152.547830567,75.63,353.162708216,6,2,4,1,5,26,49,3,2,0,1,0,0,1,2,0,0
326944,620,4.0505,108.064,165.2777147958,75.63,381.194008344,7,2,4,1,5,28,55,3,2,0,1,0,0,1,2,0,0
326945,17.56,3.94092,110.3583,184.189035383,112.66,468.13083462,7,3,6,1,11,33,53,3,3,0,0,1,0,0,2,0,0
